id,name,artist_ids,artists,aritsts_mean_popularity,artists_followers_combined,release_date,explicit,key,mode,loudness,tempo,time_signature,duration_ms,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,popularity
7fyAkMWebGAny9tHpj5eME,FLOWMASTER,['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2022-12-23,1,7,1,-7.549,120.059,4,102500,0.724,0.711,0.205,0.0474,2.52e-06,0.351,0.351,36
02YYjrSUL5cGDT12OueR5s,На моём месте,['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2022-12-23,1,4,0,-8.067,136.456,4,77518,0.499,0.523,0.115,0.146,0.0,0.157,0.152,31
5QCiQdGjXGwOvzZuxjeOK0,Вандализм,['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2022-12-23,1,8,0,-9.691,74.987,4,107200,0.695,0.424,0.208,0.422,1.69e-05,0.0842,0.313,31
5mVzXoq1vpBGn95Mkrg0UD,Дел нету,['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2022-12-23,1,1,0,-9.075,137.968,4,113043,0.781,0.404,0.112,0.0417,6.5e-05,0.0988,0.252,36
3r2lunovgcYJg9cZCGnq1y,Насморк,['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2022-12-23,1,11,1,-6.778,140.198,4,81857,0.762,0.707,0.0602,0.0352,0.00173,0.289,0.207,31
0O2eRT3XRJL9GdNObbLOwT,ИЗО,['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2022-12-23,1,0,1,-8.527,69.913,4,85929,0.631,0.592,0.296,0.263,0.0,0.366,0.6,32
15JCb0qRFpfkiYw4Dk2fzg,4,['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2022-12-23,1,1,1,-6.436,141.036,4,82553,0.698,0.524,0.0482,0.00649,0.0,0.16,0.254,52
59UOsevKZ9y3kuLwNxGy8N,PUSH,['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2022-12-23,1,0,1,-7.525,134.936,4,92000,0.645,0.632,0.084,0.0647,0.0,0.166,0.335,32
0NY9juej9j8SAEU68fXwZh,JAKE PAUL,['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2022-12-23,1,1,1,-7.026,143.852,4,67862,0.5,0.523,0.227,0.0199,0.0,0.098,0.196,35
7n7s2o7AsXdcY0WVBBGuvC,Оппонент не вывез,['3KtiWEUyKC5lgHedcN6y6C'],['MAYOT'],57.0,418157.0,2022-12-23,1,2,1,-8.633,75.168,4,86400,0.682,0.433,0.418,0.123,0.0,0.19,0.115,33
